date,store_id,product_id,category,price,discount,units_sold,inventory_level,holiday,promotion,temperature,fuel_price
2023-01-01,1,P001,Home,112.0,0,15,157,1,1,19.01,99.28
2023-01-02,1,P001,Home,106.4,5,18,139,0,0,22.94,95.47
2023-01-03,1,P001,Home,112.0,0,9,130,0,0,12.8,96.21
2023-01-04,1,P001,Home,89.6,20,25,105,0,0,32.43,95.83
2023-01-05,1,P001,Home,95.2,15,21,84,0,0,24.3,94.93
2023-01-06,1,P001,Home,100.8,10,22,62,0,0,32.9,92.61
2023-01-07,1,P001,Home,112.0,0,26,36,1,0,14.11,92.91
2023-01-08,1,P001,Home,106.4,5,26,149,1,1,15.82,95.95
2023-01-09,1,P001,Home,106.4,5,7,142,0,0,27.91,96.78
2023-01-10,1,P001,Home,112.0,0,13,129,0,0,30.5,97.36
2023-01-11,1,P001,Home,100.8,10,24,105,0,1,32.48,95.68
2023-01-12,1,P001,Home,112.0,0,17,88,0,0,24.7,92.16
2023-01-13,1,P001,Home,112.0,0,9,79,0,0,21.05,96.49
2023-01-14,1,P001,Home,95.2,15,36,43,1,1,30.79,97.74
2023-01-15,1,P001,Home,112.0,0,17,26,1,0,31.37,94.42
2023-01-16,1,P001,Home,112.0,0,12,145,0,0,26.73,95.91
2023-01-17,1,P001,Home,112.0,0,17,128,0,1,15.41,94.95
2023-01-18,1,P001,Home,112.0,0,10,118,0,0,37.32,94.62
2023-01-19,1,P001,Home,89.6,20,24,94,0,0,30.71,96.5
2023-01-20,1,P001,Home,106.4,5,18,76,0,0,17.99,93.02
2023-01-21,1,P001,Home,106.4,5,20,56,1,0,19.69,95.95
2023-01-22,1,P001,Home,95.2,15,32,24,1,1,23.39,96.63
2023-01-23,1,P001,Home,106.4,5,16,111,0,0,26.3,96.56
2023-01-24,1,P001,Home,112.0,0,23,88,0,1,26.48,96.31
2023-01-25,1,P001,Home,95.2,15,27,61,0,1,20.07,92.81
2023-01-26,1,P001,Home,112.0,0,14,47,0,0,23.08,96.73
